,MeanDecreaseGini,Features
PRO_MaxPartialCharge,6.16501182718421,PRO_MaxPartialCharge
PRO_VSA_EState8,4.56821185195869,PRO_VSA_EState8
CAT_HallKierAlpha,4.52612609699231,CAT_HallKierAlpha
CAT_MinEStateIndex,4.39168007876074,CAT_MinEStateIndex
PRO_MaxAbsPartialCharge,3.74570329317325,PRO_MaxAbsPartialCharge
PRO_VSA_EState4,3.68707701518194,PRO_VSA_EState4
PRO_BCUT2D_CHGHI,3.62432161528628,PRO_BCUT2D_CHGHI
RCTB_MinPartialCharge,3.50961004937596,RCTB_MinPartialCharge
RCTB_MaxAbsPartialCharge,3.48649601578211,RCTB_MaxAbsPartialCharge
PRO_Kappa3,3.47113931249778,PRO_Kappa3
PRO_BCUT2D_CHGLO,3.44133871683947,PRO_BCUT2D_CHGLO
CAT_FractionCSP3,3.37633366371042,CAT_FractionCSP3
PRO_MinPartialCharge,3.33519754011288,PRO_MinPartialCharge
PRO_VSA_EState9,3.24323723973908,PRO_VSA_EState9
PRO_MaxAbsEStateIndex,3.17958676990833,PRO_MaxAbsEStateIndex
PRO_MinAbsPartialCharge,3.14079292221675,PRO_MinAbsPartialCharge
PRO_MinEStateIndex,3.14012347596555,PRO_MinEStateIndex
PRO_VSA_EState1,3.13549164024758,PRO_VSA_EState1
PRO_EState_VSA9,3.09296418836993,PRO_EState_VSA9
PRO_PEOE_VSA7,3.07778116828619,PRO_PEOE_VSA7
PRO_SlogP_VSA5,2.95571537311968,PRO_SlogP_VSA5
PRO_MaxEStateIndex,2.91375945752689,PRO_MaxEStateIndex
RCTB_PEOE_VSA8,2.87966147591647,RCTB_PEOE_VSA8
PRO_BCUT2D_LOGPHI,2.86717996549305,PRO_BCUT2D_LOGPHI
RCTB_PEOE_VSA7,2.84369841150929,RCTB_PEOE_VSA7
PRO_Chi0,2.83335534333606,PRO_Chi0
RCTB_BCUT2D_MWLOW,2.82717835681813,RCTB_BCUT2D_MWLOW
PRO_qed,2.82643484549868,PRO_qed
PRO_FpDensityMorgan1,2.8158529556528,PRO_FpDensityMorgan1
PRO_PEOE_VSA8,2.79628147188859,PRO_PEOE_VSA8
PRO_VSA_EState5,2.74142216625612,PRO_VSA_EState5
PRO_FpDensityMorgan2,2.70064505190406,PRO_FpDensityMorgan2
CAT_SMR_VSA5,2.69423574760433,CAT_SMR_VSA5
RCTB_BCUT2D_CHGHI,2.6705967093058,RCTB_BCUT2D_CHGHI
RCTB_MaxPartialCharge,2.66384642374751,RCTB_MaxPartialCharge
RCTB_FpDensityMorgan2,2.62287669156754,RCTB_FpDensityMorgan2
RCTB_MinAbsPartialCharge,2.6035292109968,RCTB_MinAbsPartialCharge
PRO_VSA_EState7,2.57953587106604,PRO_VSA_EState7
PRO_Chi1,2.57072814401874,PRO_Chi1
RCTB_MinAbsEStateIndex,2.55901186835697,RCTB_MinAbsEStateIndex
RCTB_BCUT2D_MRLOW,2.55805422016455,RCTB_BCUT2D_MRLOW
PRO_MinAbsEStateIndex,2.52805408216145,PRO_MinAbsEStateIndex
PRO_SMR_VSA1,2.49831837189118,PRO_SMR_VSA1
PRO_FpDensityMorgan3,2.4938894715308,PRO_FpDensityMorgan3
PRO_Chi4v,2.49261555962379,PRO_Chi4v
RCTB_VSA_EState4,2.46422598317583,RCTB_VSA_EState4
RCTB_MaxAbsEStateIndex,2.44344299076027,RCTB_MaxAbsEStateIndex
PRO_Chi0n,2.41801479305778,PRO_Chi0n
RCTB_FpDensityMorgan1,2.40486932493174,RCTB_FpDensityMorgan1
PRO_MolLogP,2.3762356727177,PRO_MolLogP
RCTB_BCUT2D_LOGPLOW,2.35213491156863,RCTB_BCUT2D_LOGPLOW
PRO_MolMR,2.33818732522315,PRO_MolMR
RCTB_PEOE_VSA6,2.33636821138269,RCTB_PEOE_VSA6
PRO_Kappa2,2.33083548540692,PRO_Kappa2
RCTB_qed,2.29243841844908,RCTB_qed
RCTB_VSA_EState6,2.29149811070785,RCTB_VSA_EState6
PRO_SMR_VSA5,2.28120561681316,PRO_SMR_VSA5
RCTB_FpDensityMorgan3,2.27903556287713,RCTB_FpDensityMorgan3
PRO_VSA_EState6,2.27424338041249,PRO_VSA_EState6
PRO_BCUT2D_MRHI,2.26315331398448,PRO_BCUT2D_MRHI
RCTB_BCUT2D_LOGPHI,2.24522463483332,RCTB_BCUT2D_LOGPHI
PRO_Kappa1,2.24052755943893,PRO_Kappa1
PRO_BalabanJ,2.24020637427612,PRO_BalabanJ
RCTB_Kappa3,2.22545559927135,RCTB_Kappa3
CAT_PEOE_VSA8,2.22139112065379,CAT_PEOE_VSA8
CAT_qed,2.15790822092825,CAT_qed
RCTB_VSA_EState8,2.14560395690893,RCTB_VSA_EState8
PRO_PEOE_VSA6,2.12956136061367,PRO_PEOE_VSA6
PRO_EState_VSA1,2.09792958954008,PRO_EState_VSA1
RCTB_MaxEStateIndex,2.0665618885507,RCTB_MaxEStateIndex
RCTB_BCUT2D_CHGLO,2.06612990003319,RCTB_BCUT2D_CHGLO
PRO_ExactMolWt,2.05961798848081,PRO_ExactMolWt
PRO_Chi1n,2.03180350787573,PRO_Chi1n
CAT_EState_VSA9,2.02255396672756,CAT_EState_VSA9
PRO_BCUT2D_MWHI,2.01799401017209,PRO_BCUT2D_MWHI
PRO_Chi2n,2.01358609208752,PRO_Chi2n
RCTB_MinEStateIndex,2.01230741493192,RCTB_MinEStateIndex
RCTB_Kappa2,1.98483830856578,RCTB_Kappa2
CAT_MolWt,1.98129627143839,CAT_MolWt
RCTB_EState_VSA1,1.95597103977813,RCTB_EState_VSA1
PRO_Chi3v,1.94062774057845,PRO_Chi3v
PRO_BertzCT,1.93687609647293,PRO_BertzCT
RCTB_SlogP_VSA5,1.91904752404936,RCTB_SlogP_VSA5
RCTB_VSA_EState1,1.89083183813861,RCTB_VSA_EState1
PRO_Chi2v,1.88843644823013,PRO_Chi2v
RCTB_ExactMolWt,1.88056163424666,RCTB_ExactMolWt
RCTB_BalabanJ,1.87517526131638,RCTB_BalabanJ
RCTB_MolLogP,1.87273965887713,RCTB_MolLogP
PRO_MolWt,1.87096208031832,PRO_MolWt
PRO_HeavyAtomMolWt,1.82661782758165,PRO_HeavyAtomMolWt
RCTB_BCUT2D_MWHI,1.82581971102293,RCTB_BCUT2D_MWHI
PRO_PEOE_VSA9,1.81289860002085,PRO_PEOE_VSA9
RCTB_HallKierAlpha,1.8106094350962,RCTB_HallKierAlpha
RCTB_VSA_EState5,1.80530257437804,RCTB_VSA_EState5
RCTB_BCUT2D_MRHI,1.79362207210656,RCTB_BCUT2D_MRHI
RCTB_MolWt,1.78730582254938,RCTB_MolWt
RCTB_MolMR,1.77140650683655,RCTB_MolMR
RCTB_BertzCT,1.77084572903922,RCTB_BertzCT
PRO_Chi3n,1.76021511563715,PRO_Chi3n
PRO_Chi4n,1.73910906146019,PRO_Chi4n
CAT_SMR_VSA10,1.73270840656547,CAT_SMR_VSA10
RCTB_Chi3v,1.71468443556934,RCTB_Chi3v
RCTB_HeavyAtomMolWt,1.70711693651988,RCTB_HeavyAtomMolWt
PRO_Chi0v,1.70078645130233,PRO_Chi0v
RCTB_PEOE_VSA9,1.69043206714845,RCTB_PEOE_VSA9
PRO_LabuteASA,1.68601389046661,PRO_LabuteASA
PRO_Chi1v,1.669979136854,PRO_Chi1v
RCTB_Kappa1,1.6666697864359,RCTB_Kappa1
RCTB_EState_VSA9,1.65405852998096,RCTB_EState_VSA9
RCTB_Chi2n,1.64662713077379,RCTB_Chi2n
RCTB_Chi2v,1.62731291112223,RCTB_Chi2v
ADD..B...CC..CC.CC..Na...O.O,1.62204383557622,ADD..B...CC..CC.CC..Na...O.O
CAT_MaxEStateIndex,1.6044120649389,CAT_MaxEStateIndex
PRO_SlogP_VSA3,1.59522213557162,PRO_SlogP_VSA3
RCTB_Chi1,1.59195883932363,RCTB_Chi1
CAT_MaxAbsEStateIndex,1.56854285688904,CAT_MaxAbsEStateIndex
RCTB_Chi4v,1.54952362033094,RCTB_Chi4v
RCTB_Chi4n,1.51925916667661,RCTB_Chi4n
PRO_BCUT2D_MWLOW,1.51576582967822,PRO_BCUT2D_MWLOW
RCTB_SMR_VSA7,1.46066560097228,RCTB_SMR_VSA7
PRO_FractionCSP3,1.45727305655167,PRO_FractionCSP3
RCTB_Chi1n,1.44801864764398,RCTB_Chi1n
RCTB_Chi0v,1.44452180465729,RCTB_Chi0v
CAT_ExactMolWt,1.43159060675683,CAT_ExactMolWt
RCTB_Chi1v,1.42361644980777,RCTB_Chi1v
PRO_HallKierAlpha,1.4173632403798,PRO_HallKierAlpha
RCTB_Chi0,1.40009331465114,RCTB_Chi0
RCTB_VSA_EState7,1.39526112062215,RCTB_VSA_EState7
RCTB_Chi3n,1.36590041060142,RCTB_Chi3n
PRO_NumRotatableBonds,1.3596182393036,PRO_NumRotatableBonds
PRO_SMR_VSA10,1.33835779274245,PRO_SMR_VSA10
CAT_VSA_EState7,1.33463012951219,CAT_VSA_EState7
PRO_NumValenceElectrons,1.32580651912164,PRO_NumValenceElectrons
RCTB_LabuteASA,1.31610814035728,RCTB_LabuteASA
RCTB_FractionCSP3,1.30514591292077,RCTB_FractionCSP3
RCTB_SMR_VSA1,1.29036080370436,RCTB_SMR_VSA1
RCTB_SMR_VSA5,1.29018730127817,RCTB_SMR_VSA5
PRO_VSA_EState2,1.28213830667235,PRO_VSA_EState2
RCTB_Chi0n,1.26243220897449,RCTB_Chi0n
CAT_FpDensityMorgan3,1.2593247525481,CAT_FpDensityMorgan3
CAT_NumHeteroatoms,1.25234610017139,CAT_NumHeteroatoms
RCTB_SMR_VSA10,1.24101814254013,RCTB_SMR_VSA10
CAT_233,1.2399514461944,CAT_233
CAT_SMR_VSA1,1.23779697723137,CAT_SMR_VSA1
CAT_VSA_EState8,1.22384622111902,CAT_VSA_EState8
CAT_SlogP_VSA6,1.20394431227382,CAT_SlogP_VSA6
CAT_VSA_EState4,1.18772552045831,CAT_VSA_EState4
PRO_SMR_VSA7,1.16071682127044,PRO_SMR_VSA7
PRO_SlogP_VSA6,1.12288229474655,PRO_SlogP_VSA6
RCTB_SlogP_VSA3,1.11932903575907,RCTB_SlogP_VSA3
RCTB_SlogP_VSA6,1.1030263990092,RCTB_SlogP_VSA6
CAT_Kappa1,1.09273027755093,CAT_Kappa1
RCTB_VSA_EState2,1.08796150332885,RCTB_VSA_EState2
PRO_BCUT2D_MRLOW,1.0844926225951,PRO_BCUT2D_MRLOW
RCTB_SlogP_VSA4,1.08328571291073,RCTB_SlogP_VSA4
CAT_SlogP_VSA2,1.08211171043501,CAT_SlogP_VSA2
CAT_Chi4v,1.06885212285727,CAT_Chi4v
CAT_152,1.06716115555276,CAT_152
RCTB_PEOE_VSA10,1.05970071031285,RCTB_PEOE_VSA10
PRO_SlogP_VSA2,1.05536105197577,PRO_SlogP_VSA2
